spec	long	lat	
caruncularis	-43.766667	-18.866667	
caruncularis	-43.585833	-19.343611	
caruncularis	-43.586944	-19.287500	
caruncularis	-43.670000	-19.114444	
caruncularis	-43.717222	-19.033056	
caruncularis	-43.708056	-19.046389	
caruncularis	-43.548872	-19.278562	
caruncularis	-43.7142	-19.1692	
caruncularis	-43.499444	-19.2225	
caruncularis	-43.554488	-19.288549	
caruncularis	-43.583333	-19.233333	
caudata	-41.95	-13.533333	
caudata	-41.95	-13.53333	
caudata	-41.88333	-13.26666	
caudata	-42	-13.51666	
caudata	-41.883333	-13.266666	
caudata	-41.88	-13.27	
caudata	-41.92	-13.25	
caudata	-41.88	-13.33	
caudata	-41.88	-13.28	
caudata	-41.9	-13.28	
caudata	-41.883333	-13.283333	
caudata	-41.9	-13.266667	
caudata	-41.883333	-13.333333	
caudata	-41.9	-13.283333	
caudata	-41.900833	-13.282778	
caudata	-41.833333	-13.316667	
caudata	-41.883333	-13.266667	
caudata	-41.900000 	 -13.283333	
caudata	-41.883333 	 -13.033333	
caudata	-41.700000 	 -13.266667	
caudata	-41.916667 	 -13.250000	
caudata	-41.883333 	 -13.266667	
caudata	-41.883333 	 -13.283333	
caudata	-41.766667 	 -13.383333	
caudata	-42	-13.52	
caudata	-42	-13.516667	
caudata	-42.000000 	 -13.516667	
caudata	-41.338611	-12.803333	
caudata	-41.3	-12.683333	
caudata	-41.851944	-13.475556	
caudata	-41.966667	-13.533333	
caudata	-41.933333	-13.533333	
caudata	-41.95	-13.53	
caudata	-41.8114	-13.5792	
caudata	-41.97	-13.53	
caudata	-41.9575	-13.5186	
caudata	-41.869444	-13.475556	
caudata	-41.962778	-13.524722	
caudata	-41.937778	-13.520278	
caudata	-41.960278	-13.523611	
caudata	-41.964444	-13.526111	
caudata	-41.826667	-13.598889	
caudata	-41.826667 	 -13.598889	
caudata	-41.957500 	 -13.518611	
caudata	-41.960278 	 -13.523611	
caudata	-41.950000 	 -13.550000	
caudata	-41.950000 	 -13.533333	
caudata	-41.966667 	 -13.533333	
caudata	-41.933333 	 -13.533333	
ciliata	-43.076356	-16.741294	
ciliata	-43.475942	-18.503689	
ciliata	-43.5	-18.1166666667	
ciliata	-42.900833	-16.566667	
ciliata	-42.9083333333	-16.5666666667	
ciliata	-42.901847  	-16.572592	
ciliata	-43.347222	-16.971944	
ciliata	-43.346619 	-16.974189	
ciliata	-43.3474722222	-16.9721388889	
ciliata	-43.335833	-18.453056	
ciliata	-43.3360833333	-18.4531666667	
ciliata	-43.371389	-18.145000	
ciliata	-43.337500 	-18.131389	
ciliata	-43.337500	-18.131389	
ciliata	-43.3375	-18.1313888889	
ciliata	-43.3711111111	-18.1436111111	
compacta	-43.466667	-19.916667	
compacta	-44.0875	-20.256111	
compacta	-44.016667	-20.05	
compacta	-44.141975	-20.160572	
compacta	-44.15355	-20.101853	
compacta	-44.216667	-20.133333	
compacta	-43.666667	-19.816667	
compacta	-43.466944	-20.117778	
compacta	-43.503056	-20.083889	
compacta	-43.4927778	-20.1263	
compacta	-43.539757	-19.388386	
compacta	-43.918889	-20.441111	
compacta	-43.905833	-20.445833	
compacta	-43.807717	-20.703394	
compacta	-43.7	-18.33	
compacta	-43.717500	-18.422500	
compacta	-43.880444	-18.666194	
compacta	-43.4044	-19.4907	
compacta	-43.681328	-20.237114	
compacta	-43.840000	-20.211389	
compacta	-43.84	-20.21138	
compacta	-43.8	-20.22	
compacta	-44.453394	-20.401544	
compacta	-44.431944	-20.406667	
compacta	-44.569367	-20.2	
compacta	-44.05	-20.83333	
compacta	-43.453056	-20.161667	
compacta	-43.433333	-20.198611	
compacta	-43.415556	-20.159167	
compacta	-43.436667	-20.153611	
compacta	-43.450833	-20.134444	
compacta	-43.958611	-20.33	
compacta	-44.003333	-20.336667	
compacta	-43.961961	-20.360725	
compacta	-43.969908	-20.374461	
compacta	-43.349167	-19.164444	
compacta	-43.954167	-20.0975	
compacta	-43.924722	-20.147222	
compacta	-43.983333	-20.1	
compacta	-43.716667	-20.483333	
compacta	-43.508056	-20.2875	
compacta	-43.523056	-20.462500	
compacta	-44.572453	-20.590122	
compacta	-44.566667	-20.545678	
compacta	-43.864444	-20.164444	
compacta	-43.678889	-19.818611	
compacta	-43.678889	-19.818889	
compacta	-43.4153	-19.9594	
compacta	-43.751218	-18.947649	
compacta	-43.706944	-19.035278	
compacta	-43.595222	-19.29125	
crinita	-43.899417	-21.700583	
crinita	-43.894147	-21.711925	
crinita	-44.200000 	-21.116667	
crinita	-44.1752777778	-21.0863888889	
crinita	-44.152528 	-21.086389	
cryptantha	-45.44222222	-18.78777778	
cryptantha	-43.552778	-18.355	
cryptantha	-43.620417	-18.154300	
cryptantha	-43.588711	-18.239956	
cryptantha	-43.627794 	-18.195092	
cryptantha	-43.527406	-18.277497	
dasypus	-41.333333 	 -12.950000	
dasypus	-41.333333	-12.95	
dasypus	-41.3	-12.683333	
dasypus	-41.278333	-12.950556	
dasypus	-41.277778	-12.951389	
dasypus	-41.233333	-13.666667	
dasypus	-42.459167 	 -14.138611	
dasypus	-42.459167	-14.138611	
dasypus	-39.033333	-13.483333	
dasypus	-38.316667	-12.683333	
dasypus	-38.3	-12.65	
dasypus	-39.000000 	 -14.066667	
dasypus	-37.855	-12.243611	
dasypus	-38.08	-11.94	
dasypus	-41.283333	-13.4	
dasypus	-41.300833	-13.363611	
dasypus	-41.216667 	 -13.383333	
dasypus	-39.07	-14.37	
dasypus	-39.066667	-14.366667	
dasypus	-39.066667 	 -14.366667	
dasypus	-39.039722	-14.380556	
dasypus	-38.3552777778	-12.9358333333	
dasypus	-38.35	-12.93	
dasypus	-38.35	-12.933333	
dasypus	-40.655278	-11.055278	
dasypus	-40.511022	-11.176350	
dasypus	-40.494444	-11.1725	
dasypus	-40.672500 	 -11.086944	
dasypus	-40.8225	-11.086944	
dasypus	-40.6725	-11.086944	
dasypus	-40.5	-11.25	
dasypus	-38.905556	-13.206389	
dasypus	-38.316667	-12.883333	
dasypus	-38.316667	-12.9	
dasypus	-38.330833	-12.921667	
dasypus	-38.318333	-12.92	
dasypus	-41.466667	-12.45	
dasypus	-41.45	-12.466667	
dasypus	-41.366667	-12.516667	
dasypus	-41.416667	-12.45	
dasypus	-41.452778	-12.456667	
dasypus	-41.420833	-12.4625	
dasypus	-41.454167	-12.466944	
dasypus	-41.383333	-12.5	
dasypus	-41.370783	-12.544633	
dasypus	-41.391667	-12.585833	
dasypus	-41.418333	-12.463333	
dasypus	-41.418333 	 -12.463333	
dasypus	-41.433333	-12.55	
dasypus	-41.383333	-12.566667	
dasypus	-41.383333	-12.583333	
dasypus	-41.383333 	 -12.500000	
dasypus	-41.366667 	 -12.633333	
dasypus	-41.45	-12.45	
dasypus	-41.416667 	 -12.450000	
dasypus	-41.452778 	 -12.456667	
dasypus	-41.496667	-12.5225	
dasypus	-41.361389	-12.542222	
dasypus	-41.416667 	 -12.466667	
dasypus	-41.420833 	 -12.462500	
dasypus	-41.454167 	 -12.466944	
dasypus	-41.466667	-12.466667	
dasypus	-41.366667 	 -12.466667	
dasypus	-38.958327	-14.061463	
dasypus	-39	-14.166667	
dasypus	-39.0166	-14.1833	
dasypus	-39	-14.1666667	
dasypus	-39.018056	-14.220556	
dasypus	-39.018056 	 -14.220556	
dasypus	-39.021667 	 -14.178056	
dasypus	-39	-14.1	
dasypus	-38.930556	-13.943056	
dasypus	-38.933333	-13.95	
dasypus	-39	-14.11666	
dasypus	-39.0056	-14.12	
dasypus	-39.03416667	-14.20194444	
dasypus	-39.000000 	 -14.166667	
dasypus	-38.283333	-12.516667	
dasypus	-38.024444 	 -12.530000	
dasypus	-38.283333	-12.6	
dasypus	-38.016667	-12.566667	
dasypus	-40.516667	-11.333333	
dasypus	-41.2	-11.583333	
dasypus	-41.466667	-12.966667	
dasypus	-41.416667	-13.016667	
dasypus	-41.341389	-12.991667	
dasypus	-41.383333	-13	
dasypus	-41.343889	-13.016667	
dasypus	-41.385	-12.995556	
dasypus	-41.366667 	 -12.983333	
dasypus	-41.357222 	 -12.992222	
dasypus	-41.38	-13.23	
dasypus	-41.320278 	 -12.959167	
dasypus	-41.339444	-12.988333	
dasypus	-41.5	-12.95	
dasypus	-41.339167	-13.136944	
dasypus	-41.366667	-13.066667	
dasypus	-41.377778	-13.087778	
dasypus	-41.379444	-13.073333	
dasypus	-41.47	-12.97	
dasypus	-41.353889 	 -12.994722	
dasypus	-41.383333	-13.233333	
dasypus	-41.35	-12.983333	
dasypus	-41.466667 	 -12.966667	
dasypus	-41.416667 	 -13.016667	
dasypus	-39.014722	-13.7075	
dasypus	-39.014722 	 -13.707500	
dasypus	-39.045278	-13.694722	
dasypus	-41.4713888889	-12.4577777778	
dasypus	-41.4777777778	-12.4602777778	
dasypus	-41.5589	-12.5292	
dasypus	-41.483333	-12.616667	
dasypus	-41.533333	-12.583333	
dasypus	-41.558889	-12.528889	
dasypus	-41.468056 	 -12.454722	
dasypus	-41.470833	-12.455556	
dasypus	-41.468056	-12.454722	
dasypus	-41.466667 	 -12.450000	
dasypus	-41.510833	-12.62	
dasypus	-41.457778	-12.463889	
dasypus	-41.525778	-12.604778	
dasypus	-41.470833 	 -12.455556	
dasypus	-40.3645555555556	-10.6661111111111	
dasypus	-40.37775	-10.692361	
dasypus	-40.37775	-10.6923611111111	
dasypus	-40.3632222222222	-10.6671388888889	
dasypus	-38.326389	-12.929167	
dasypus	-38.340278	-12.943056	
dasypus	-38.326094	-12.909706	
dasypus	-38.322547	-12.918623	
dasypus	-38.5	-12.966667	
dasypus	-40.202222	-10.362778	
dasypus	-39.039072	-15.159747	
dasypus	-38.707222	-13.995	
dasypus	-38.707222 	 -12.995000	
dasypus	-38.707222	-12.995	
dasypus	-38.655556 	 -13.003056	
dasypus	-38.655556	-13.003056	
dasypus	-38.656667	-13.002778	
dasypus	-37.94	-10.593333	
dasypus	-37.341083	-10.772222	
dasypus	-37.3425	-10.755278	
dasypus	-37.340694	-10.753833	
dasypus	-37.148333	-10.688611	
dasypus	-37.336808	-11.369645	
dasypus	-37.3333333333	-10.75	
dasypus	-37.3611111111	-10.7391666667	
dasypus	-37.3558333333	-10.7730555556	
dasypus	-37.355833	-10.773056	
dasypus	-37.335556	-10.752222	
dasypus	-36.837861	-10.62	
dasypus	-36.757639	-10.633361	
dasypus	-40.511281	-11.176300	
dasypus	-40.511282	-11.176301	
dasypus	-41.26667	-12.5	
dasypus	-41.41667	-12.46667	
dasypus	-41.36667	-12.98333	
declinans	-43.735000	-18.851111	
declinans	-43.583333	-18.033333	
declinans	-43.700000	-18.066667	
declinans	-43.617778	-17.779444	
declinans	-43.816667	-18.083333	
declinans	-43.5366667	-18.1838	
declinans	-43.552778	-18.355	
declinans	-43.915	-18.523889	
declinans	-43.306256	-19.404614	
declinans	-43.306389 	-19.404722	
declinans	-43.583333	-18.583333	
declinans	-43.667222	-18.650278	
declinans	-43.672222	-18.652778	
declinans	-43.6722	-18.6528	
declinans	-43.75895	-19.006194	
declinans	-43.700000 	-19.066667	
declinans	-43.737305	-19.048627	
