spec;long;lat
sp;-40.494444;-11.1725
sp;-47.416667;-20.033333
sp;-38.862368;-13.053973
sp;-44.441667;-15.512222
sp;-44.191389;-17.709167
sp;-44.1131;-17.4229
sp;-44.193056;-17.693889
sp;-40.687528;-9.811083
sp;-45.366666;-21.466666
sp;-41.42;-12.47
sp;-41.27;-12.5
sp;-41.3944444444;-12.5661111111
sp;-41.376944;-12.548611
sp;-41.420556;-12.447222
sp;-41.383333;-12.55
sp;-41.383333;-12.55
sp;-41.418333;-12.559444
sp;-41.383333;-12.55
sp;-41.383333;-12.55
sp;-41.39;-12.562778
sp;-41.39;-12.562778
sp;-41.383333;-12.55
sp;-41.452778;-12.456667
sp;-42.364167;-14.5375
sp;-42.530833;-14.5375
sp;-48.17861;-16.28806
sp;-48.0122;-16.7179
sp;-48.012222;-16.717778
sp;-39.0217;-14.1781
sp;-39.005556;-14.118889
sp;-39.021667;-14.178056
sp;-39.205556;-14.178056
sp;-42.666389;-19.766111
sp;-46.417778;-10.547222
sp;-46.417777;-10.547222
sp;-46.781583;-10.5605
sp;-46.427778;-10.547222
sp;-46.456111;-10.473889
sp;-40.583333;-11.416667
sp;-40.516667;-11.333333
sp;-40.516667;-11.333333
sp;-40.516667;-11.333333
sp;-43.49884;-18.4718
sp;-48.417778;-9.63
sp;-43.957778;-20.283333
sp;-46.9006;-13.2564
sp;-43.0375;-14.876944
sp;-43.0375;-14.876944
sp;-43.017778;-15.083889
sp;-43.060278;-14.936667
sp;-42.815278;-15.231944
sp;-48.066667;-10.400556
sp;-41.27;-11.38
sp;-41;-11.63
sp;-41.1558;-11.5503
sp;-41.12;-11.45
sp;-41.266666;-11.383333
sp;-41.0025;-11.630556
sp;-41.209444;-11.090833
sp;-41.209444;-11.090833
sp;-41.209444;-11.090833
sp;-41.15;-11.55
sp;-41.15;-11.55
sp;-41.15;-11.566667
sp;-41.083333;-11.466667
sp;-41.033333;-11.633333
sp;-41.089722;-11.676389
sp;-41.089722;-11.676389
sp;-41.002222;-11.624444
sp;-40.999444;-11.625278
sp;-41.05;-11.6
sp;-41;-11.616667
sp;-41.15;-11.566667
sp;-41.15;-11.55
sp;-41.15;-11.55
sp;-41.15;-11.55
sp;-41.000833;-11.628056
sp;-41.001389;-11.635833
sp;-41.338056;-11.490278
sp;-41.002528;-11.630556
sp;-41.207778;-11.591389
sp;-40.993889;-11.630833
sp;-41.095278;-11.258611
sp;-41.2;-11.583333
sp;-40.993889;-11.630833
sp;-41.207778;-11.591389
sp;-40.990833;-11.583889
sp;-40.905278;-11.56
sp;-41.208889;-11.583333
sp;-41.369722;-11.471667
sp;-41.207778;-11.825278
sp;-43.3725;-19.218889
sp;-43.3725;-19.218889
sp;-43.655139;-19.375339
sp;-43.655139;-19.375339
sp;-43.655139;-19.375339
sp;-50.383333;-16.183333
sp;-50.166667;-15.066667
sp;-50.166667;-16.083333
sp;-50.180556;-16.067778
sp;-50.180556;-16.067778
sp;-50.180556;-16.067778
sp;-50.180556;-16.067778
sp;-41.3708;-13.0053
sp;-41.328611;-12.936388
sp;-41;-12
sp;-41.353889;-12.944722
sp;-41.376194;-13.006833
sp;-41.366667;-13
sp;-41.333333;-13
sp;-41.333333;-13
sp;-41.366667;-13
sp;-42.522778;-14.534722
sp;-41.349167;-12.988889
sp;-41.349167;-12.988889
sp;-41.366667;-13
sp;-41.348333;-12.989722
sp;-41.62;-13.024167
sp;-41.569444;-13.6725
sp;-41.569444;-13.6725
sp;-41.416667;-13.166667
sp;-41.316667;-12.933333
sp;-41.4;-12.95
sp;-41;-12
sp;-41;-12
sp;-41.340833;-12.988333
sp;-41.341389;-12.992222
sp;-41.343889;-13.016667
sp;-41.343889;-13.016667
sp;-41.343889;-13.016667
sp;-41.366667;-13
sp;-41.366667;-13
sp;-41.366667;-13
sp;-41.374722;-13.006667
sp;-41.391389;-13.000278
sp;-41.391389;-13.000278
sp;-41.333333;-12.966667
sp;-41.342222;-12.993333
sp;-41.353889;-12.994722
sp;-41.333333;-12.966667
sp;-41.333333;-12.966667
sp;-41.366667;-13.066667
sp;-41.383333;-14
sp;-41.3;-12.683333
sp;-41.373056;-13.117778
sp;-41.511389;-12.743889
sp;-41.483333;-12.816667
sp;-41.483333;-12.816667
sp;-41.510556;-12.756111
sp;-41.278333;-12.950278
sp;-41.278333;-12.950278
sp;-41.333333;-12.983333
sp;-41.333333;-12.983333
sp;-41.391111;-13.120833
sp;-41.370278;-13.003889
sp;-41.278611;-12.949167
sp;-41.278611;-12.949167
sp;-41.339167;-12.196389
sp;-41.322222;-12.949444
sp;-41.383333;-12
sp;-41.374444;-13.006667
sp;-41.367028;-13.015917
sp;-47.701944;-11.692778
sp;-47.719444;-11.692778
sp;-47.701389;-11.693611
sp;-48.440833;-14.026111
sp;-48.383333;-14.3
sp;-48.433333;-14.45
sp;-48.433333;-14.45
sp;-48.440833;-14.026111
sp;-43.956111;-20.095556
sp;-43.891111;-20.105278
sp;-43.985833;-20.075833
sp;-43.924722;-20.147222
sp;-43.979722;-20.190556
sp;-43.801389;-17.914444
sp;-43.766944;-17.637556
sp;-43.766944;-17.637556
sp;-43.766944;-17.637556
sp;-43.59247;-20.47559
sp;-43.701667;-20.491667
sp;-43.5081;-20.2875
sp;-43.521944;-20.466111
sp;-43.887564;-20.736958
sp;-43.57;-20.228333
sp;-48.069722;-10.343889
sp;-41.4936111111;-12.47
sp;-41.481111;-12.769444
sp;-41.525806;-12.603833
sp;-41.525778;-12.604778
sp;-41.525778;-12.604778
sp;-41.45;-12.466667
sp;-41.466667;-12.45
sp;-41.483333;-12.633333
sp;-41.65;-12.616667
sp;-41.466667;-12.45
sp;-40.879722;-19.231722
sp;-47.566667;-16.799444
sp;-42.633333;-13.456111
sp;-42.210278;-13.456111
sp;-48.091388;-13.042222
sp;-48.091389;-13.042222
sp;-50.248833;-6.056361
sp;-46.88333;-18.73333
sp;-46.8833333;-18.7333333
sp;-41.277778;-16.02
sp;-41.380556;-16.025
sp;-41.7728;-13.1519
sp;-41.9;-13.07
sp;-41.887778;-13.079167
sp;-41.75;-13.133333
sp;-41.776111;-13.129167
sp;-41.894167;-13.08
sp;-41.806667;-13.069722
sp;-41.891389;-13.048333
sp;-41.766667;-13.123333
sp;-41.765278;-13.124167
sp;-41.766111;-13.149167
sp;-41.776111;-13.129167
sp;-41.963889;-13.530833
sp;-40.372222;-10.664722
sp;-40.372222;-10.664722
sp;-40.372222;-10.664722
sp;-51.925833;-16.639444
sp;-48.834722;-15.793056
sp;-48.890833;-15.713056
sp;-48.883333;-15.816667
sp;-48.904111;-15.827694
sp;-48.836667;-15.790833
sp;-47.883333;-15.583333
sp;-47.5625;-15.4375
sp;-52.633333;-17.366667
sp;-48.4169;-10.7083
sp;-43.592222;-18.5725
sp;-43.592222;-18.5725
sp;-43.592222;-18.5725
sp;-42.781944;-16.119722
sp;-42.781944;-16.1175
sp;-42.781389;-16.114167
sp;-42.781944;-16.1175
sp;-43.801667;-20.143611
sp;-43.801667;-20.143611
sp;-42.43;-13.82
sp;-41.891111;-13.390555
sp;-41.799722;-13.591389
sp;-41.8775;-13.533611
sp;-41.816667;-13.583333
sp;-41.889722;-13.389444
sp;-42.35;-13.983333
sp;-42.716667;-14.35
sp;-41.883333;-13.366667
sp;-41.816667;-13.583333
sp;-41.9075;-13.518056
sp;-41.946944;-13.524167
sp;-41.946944;-13.524167
sp;-41.937778;-13.520278
sp;-41.912222;-13.511389
sp;-42.433333;-13.816667
sp;-41.783333;-13.4
sp;-41.805278;-13.570833
sp;-41.752222;-13.449167
sp;-41.868056;-13.541389
sp;-41.935278;-13.520278
sp;-41.838056;-13.436667
sp;-41.884167;-13.368611
sp;-41.950278;-13.550278
sp;-42;-13.934722
sp;-41.834722;-13.595278
sp;-41.888889;-13.381944
sp;-41.799444;-13.625
sp;-41.816667;-13.55
sp;-41.95;-13.533333
sp;-41.933333;-13.533333
sp;-41.933333;-13.533333
sp;-41.9;-13.533333
sp;-41.95;-13.533333
sp;-41.95;-13.533333
sp;-41.966667;-13.533333
sp;-41.889722;-13.389444
sp;-42.738611;-15.648055
sp;-42.71;-16.025278
sp;-42.705944;-15.958889
