"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"
"X22"	0.99395766	0.99027994	0.99651438	0.98718501	0.98155029	0.99149941	0.99152948	0.88695786	0.99191487	0.91913281	0.94193939	0.99425936	0.99856964	0.85428548	0.98178883	0.99886311	0.99135023	0.99393923	0.84586405	0.9991243	NA	0.55707039	0.5753067	0.90676433	0.96888215	0.90521711	0.96111661	0.8218174	0.78067228	0.9650226	0.80781114	0.86981229	0.53136831	0.89500405	0.94711354	0.54426544	0.85914685	0.81446809	0.96792854	0.98832434	0.90403161	0.98804027	0.84102421	0.93648698	0.9524284	0.82949567	0.70557331	0.55624861	0.97974509	0.71107914	0.81114228	0.82411842	0.89012144	0.96279537	0.90646802	0.89197277	0.97309552	0.91226812	0.82173156	0.84305366	0.69251686
"X23"	0.84339108	0.90225174	0.86887337	0.88830733	0.90519553	0.87036207	0.7875177	0.98136203	0.78970411	0.97856221	0.96048242	0.81908059	0.86562258	0.99739547	0.90338127	0.83086985	0.86955261	0.83893201	0.99578076	0.84484011	0.84080721	NA	0.96867858	0.5422505	0.55722562	0.51255324	0.52596463	0.6961393	0.63821249	0.54168349	0.64223235	0.60876207	0.96022254	0.62712134	0.57429359	0.96005312	0.63383815	0.64541524	0.53810316	0.55605263	0.54179264	0.56592512	0.6534322	0.59600768	0.51623128	0.66203975	0.82200359	0.97538041	0.55527593	0.76873271	0.63245092	0.62958079	0.59020586	0.53322731	0.51863126	0.64658889	0.57259044	0.54379269	0.68331695	0.70024374	0.7974132
"X24"	0.85633967	0.91265237	0.8809582	0.89948792	0.91519203	0.8823745	0.80241917	0.98427627	0.80454021	0.9829695	0.96665303	0.83297731	0.87756233	0.99805087	0.91362524	0.84411761	0.88151458	0.85202366	0.99572073	0.85774776	0.85378402	0.99929556	NA	0.55727541	0.57474363	0.52778441	0.54348264	0.71402297	0.6562252	0.5598201	0.66352695	0.62858827	0.94578737	0.65165777	0.59088798	0.94257618	0.65772945	0.66616382	0.55510036	0.57415433	0.55636931	0.58416143	0.67046579	0.6164983	0.53385482	0.68054237	0.83853204	0.96549245	0.5730671	0.78594191	0.65391779	0.65032937	0.60805552	0.55063628	0.53338166	0.66731303	0.59235602	0.55898425	0.69651756	0.7154124	0.8135634
"X25"	0.9984253	0.97781278	0.99440525	0.98945896	0.98239573	0.99464005	0.99750647	0.88181424	0.99798305	0.90477752	0.93824704	0.99998074	0.98974926	0.8352333	0.98310187	0.99021672	0.99444853	0.99906456	0.82543771	0.99699379	0.9945178	0.82039904	0.83426546	NA	0.92458242	0.96077929	0.91956247	0.81227027	0.80233408	0.8838863	0.8189351	0.89555116	0.51433981	0.85491653	0.95073299	0.52242879	0.84562428	0.8260592	0.92521118	0.90907162	0.98348818	0.9089233	0.85818766	0.92091029	0.90710181	0.84561219	0.69958683	0.54634788	0.92564865	0.71973597	0.82212514	0.84189945	0.92761534	0.91916499	0.96642294	0.84872693	0.91349657	0.97191331	0.81787264	0.82246312	0.66964952
"X26"	0.99515854	0.99050034	0.99676021	0.98934856	0.98336812	0.9937583	0.99242105	0.89364978	0.99276479	0.92356139	0.94624234	0.99563004	0.99787114	0.85833542	0.98375502	0.99765191	0.99381888	0.99513058	0.84994981	0.99883393	0.9992594	0.84420108	0.8572754	0.99575768	NA	0.91584736	0.95961935	0.82208338	0.78500925	0.95469229	0.81414664	0.8797869	0.53168715	0.88981777	0.96433304	0.54783596	0.8549186	0.82136336	0.9694819	0.96997297	0.92245123	0.97145685	0.85050861	0.93504112	0.94911215	0.83860903	0.70867857	0.55711585	0.97480182	0.71677123	0.8153688	0.8299381	0.90595001	0.95070277	0.9169292	0.88853222	0.96692987	0.93255621	0.82523641	0.84368083	0.69642243
"X27"	0.99445003	0.96944901	0.98879394	0.98099622	0.97193316	0.98821291	0.99969952	0.85945448	0.99987253	0.88495626	0.92076678	0.99883042	0.98509656	0.80978977	0.97291763	0.98869586	0.98801522	0.99570919	0.80016231	0.99399531	0.99206567	0.79408297	0.80876881	0.998706	0.99302115	NA	0.92331755	0.77887033	0.76882112	0.88442706	0.78360332	0.85659597	0.48579402	0.83139796	0.9267603	0.49694545	0.81266063	0.79044352	0.92768569	0.90531076	0.95476079	0.90240899	0.82098062	0.89275946	0.91290508	0.8086388	0.66595895	0.51408075	0.92159968	0.68454387	0.78706174	0.80672712	0.88870488	0.92217033	0.99054744	0.82580329	0.90338791	0.94975027	0.78437338	0.79196849	0.64581123
"X28"	0.99298806	0.98322237	0.99290723	0.98205356	0.97436228	0.98839395	0.99596841	0.86910547	0.99610232	0.90242022	0.92839977	0.9958858	0.99501505	0.83138384	0.97485449	0.99814922	0.98840432	0.993474	0.82307026	0.99771035	0.99873166	0.8167746	0.83068055	0.99596376	0.99839787	0.9958236	NA	0.78860392	0.75529892	0.95426343	0.78102025	0.84664518	0.50055607	0.86096124	0.93561531	0.51741914	0.82509793	0.78819413	0.98497394	0.96201441	0.91791321	0.95496205	0.81510663	0.90506268	0.98476396	0.80320706	0.67613293	0.52620018	0.96372309	0.68293153	0.78377599	0.79916399	0.87663519	0.97475625	0.92410537	0.85735807	0.94248687	0.92642117	0.79229538	0.81031583	0.66676709
"X29"	0.97868359	0.9897601	0.98757	0.9915712	0.99483847	0.98673763	0.95322452	0.95831531	0.9546163	0.9724771	0.98733623	0.96850978	0.9826197	0.93618903	0.99459825	0.96782133	0.98572013	0.97742778	0.93140988	0.97896796	0.9752707	0.93009161	0.93836826	0.96932795	0.97593068	0.95714155	0.96514329	NA	0.88266298	0.8005505	0.90387122	0.89200778	0.66480405	0.88844964	0.84240366	0.66283306	0.91654585	0.91289514	0.80134433	0.81990704	0.81195334	0.83038682	0.92177449	0.87485152	0.77755835	0.92557425	0.86126977	0.69996114	0.82027318	0.86329412	0.8982625	0.90439696	0.87179119	0.79758559	0.78462444	0.90620671	0.84001423	0.81099179	0.96924711	0.94871486	0.80236081
"X30"	0.98184232	0.96908957	0.98292787	0.99183496	0.99432818	0.9871814	0.9557676	0.94545257	0.95759871	0.94467995	0.97887304	0.97175806	0.96866328	0.9058908	0.99474507	0.95382918	0.98577449	0.98107682	0.89457511	0.97388078	0.96572027	0.89746761	0.90668917	0.97243466	0.96713427	0.96123015	0.95794394	0.98991598	NA	0.75642477	0.91762672	0.90048312	0.61155069	0.81464802	0.81420442	0.60587146	0.86120882	0.93367693	0.76838906	0.78074714	0.80261775	0.7894907	0.90428787	0.8378933	0.74210027	0.90625002	0.80629941	0.64822698	0.78656432	0.84850175	0.91933206	0.94407477	0.86807799	0.76093909	0.77348336	0.81208733	0.79764252	0.79848573	0.89173103	0.83792047	0.73083203
"X31"	0.9894553	0.99023256	0.99281656	0.98192144	0.97577639	0.98703011	0.98890233	0.88097329	0.98907939	0.91780259	0.93637823	0.99054349	0.99795901	0.85089314	0.97577492	0.99976338	0.98725978	0.98928842	0.84417195	0.99628692	0.99885094	0.83750489	0.85056632	0.99076356	0.99822521	0.98875628	0.99797817	0.97001376	0.95568774	NA	0.78438779	0.84524844	0.51519199	0.87621153	0.92256526	0.53587273	0.83573495	0.79119421	0.95080034	0.96579241	0.88216367	0.96244479	0.82062172	0.90750699	0.95017677	0.80873913	0.68768957	0.54008669	0.9502105	0.69190219	0.78587648	0.79989038	0.86712524	0.94029425	0.88547148	0.87585486	0.94820302	0.89197065	0.80128197	0.82717577	0.6897526
"X32"	0.9837058	0.97976332	0.98845373	0.99513017	0.99680174	0.99035093	0.9581563	0.95186004	0.95985102	0.95549255	0.98448954	0.97374397	0.97788959	0.9211687	0.99761554	0.96423075	0.98907207	0.98210724	0.90421163	0.97923627	0.97333515	0.90923931	0.91968637	0.97443721	0.97492027	0.96291787	0.96500851	0.99157891	0.99327742	0.96646082	NA	0.91648851	0.62090085	0.86039524	0.83841379	0.6156748	0.91234788	0.97727141	0.7944073	0.80721405	0.81782869	0.81635829	0.92881421	0.86549917	0.76928	0.93326241	0.81224045	0.64989346	0.81226723	0.85097937	0.98461917	0.95535843	0.88333662	0.78693407	0.78980417	0.85963461	0.82592736	0.81547496	0.90364527	0.87074499	0.75549771
"X33"	0.9966814	0.98622209	0.99724156	0.99970593	0.99812319	0.99916343	0.98030645	0.93045033	0.98155206	0.94333418	0.97290327	0.9910918	0.98923354	0.89218989	0.99845096	0.98106962	0.99862914	0.99594804	0.88038739	0.99288511	0.9884167	0.87975397	0.89119555	0.99148309	0.9900481	0.98380471	0.98389538	0.98999981	0.99216433	0.98269871	0.99437867	NA	0.58682759	0.87274631	0.90908263	0.58395131	0.90940644	0.92854138	0.85953129	0.87101745	0.89454516	0.87805268	0.94445672	0.92514008	0.83296254	0.93528958	0.7813172	0.6185911	0.8790571	0.81695826	0.91764024	0.94247811	0.96484538	0.8513867	0.86289607	0.86906389	0.88468704	0.89196166	0.89484316	0.87602942	0.72887083
"X34"	0.82582781	0.8861807	0.85184212	0.87390522	0.89161392	0.85470948	0.76719111	0.97899621	0.76947541	0.97218469	0.95293312	0.80037758	0.84708595	0.99695691	0.88990655	0.81034043	0.85388641	0.82105767	0.99314891	0.82603384	0.82122019	0.99870925	0.99779704	0.80168118	0.82557822	0.77414114	0.79639013	0.91617449	0.88379394	0.81762016	0.8978132	0.86463974	NA	0.604847	0.54687325	0.96104731	0.61115637	0.62425764	0.51252646	0.53047016	0.5137425	0.53985969	0.62817999	0.57113183	0.49064881	0.63825657	0.79145368	0.9545687	0.52959206	0.74832435	0.61111942	0.60785515	0.56576972	0.50764485	0.49158396	0.6213605	0.54722519	0.51752214	0.64916205	0.66402855	0.77575745
"X35"	0.98484891	0.99587711	0.99483979	0.99001266	0.98908952	0.98872081	0.97026021	0.92774415	0.97111311	0.95236303	0.96827534	0.97943594	0.99525127	0.90853142	0.98966862	0.98725389	0.98757602	0.98402345	0.89803864	0.99119829	0.99067859	0.897897	0.90868672	0.98009691	0.98971631	0.97220007	0.98350346	0.99150263	0.97633083	0.98798191	0.98696126	0.98951629	0.8821059	NA	0.89797082	0.60465859	0.93794008	0.86598699	0.87227962	0.88958631	0.85131164	0.90155215	0.88033956	0.92707274	0.85043123	0.87447051	0.77693611	0.62776434	0.88896112	0.77848143	0.86046497	0.86048826	0.87332924	0.87150001	0.83707238	0.96351041	0.91424165	0.8563363	0.87549815	0.90168772	0.74593236
"X36"	0.99815443	0.98939116	0.99867877	0.99352326	0.98831349	0.99697669	0.99291553	0.9001485	0.99347706	0.92588686	0.95178044	0.99752348	0.99668328	0.8624999	0.98874701	0.99483372	0.99674348	0.99819885	0.85376243	0.99952581	0.9982659	0.84903078	0.8619161	0.99773353	0.99903909	0.99423581	0.99696433	0.98035416	0.97596748	0.99554691	0.98092051	0.9944908	0.8309027	0.99037564	NA	0.55457011	0.87764974	0.84700768	0.94885694	0.95003022	0.94842774	0.95199628	0.87650777	0.95791424	0.92256683	0.86508383	0.72848308	0.57560982	0.9631186	0.73984452	0.84129748	0.85878598	0.93715052	0.93780803	0.93215653	0.89311127	0.95568018	0.95412631	0.84707543	0.85563097	0.70010116
